종목코드,회사명,유동자산,유동부채,투자자산,비유동부채,영업이익,기업가치,시가총액,안전마진율
005490,포스코,33651002000000,18937985000000,12550729000000,5297901000000,5542600000000,75684753350000,20445300000000,270.1816718267768
280360,롯데제과,704166000000,449280000000,835484000000,54507000000,64376000000,199818600000,1049100000000,-80.95333142693737
196700,웹스,26879000000,25779000000,2251000000,387000000,343000000,-3678010000,29700000000,-112.38387205387205
002410,범양건영,65024000000,59051000000,9154000000,18426000000,6812000000,88719810000,44400000000,99.8193918918919
078350,한양디지텍,20709000000,19456000000,5703000000,1631000000,2937000000,30600860000,33100000000,-7.550271903323264
035720,카카오,2858950000000,2039196000000,293188000000,790067000000,72949000000,1695487860000,10258400000000,-83.4721997582469
131760,파인텍,35962000000,67740000000,7826000000,2507000000,355000000,-52020100000,50400000000,-203.2144841269841
005690,파미셀,0,0,0,0,0,0,568400000000,-100.0
075970,동국알앤에스,60428000000,32389000000,13598000000,16578000000,5790000000,98633190000,41200000000,139.40094660194177
271560,오리온,569224000000,500311000000,406498000000,30385000000,282175000000,3300637310000,3514800000000,-6.093168601342893
001230,동국제강,2173861000000,3229128000000,468852000000,49910000000,144961000000,-482674820000,632700000000,-176.28810178599653
222800,심텍,252395000000,520650000000,78128000000,1025000000,30763000000,-87198600000,137900000000,-163.23321247280637
069540,라이트론,62829000000,50213000000,3802000000,27912000000,-3611000000,-25862070000,76800000000,-133.6745703125
268280,미원스페셜티케미칼,0,0,0,0,0,0,379600000000,-100.0
006340,대원전선,147275000000,99200000000,10944000000,1628000000,4337000000,67673100000,87500000000,-22.659314285714284
189980,흥국에프엔비,36112000000,21828000000,291000000,5050000000,4252000000,69264480000,55900000000,23.90783542039356
073190,듀오백,13484000000,3582000000,140000000,2736000000,-2881000000,-26858080000,28700000000,-193.58216027874565
267290,경동도시가스,444233000000,375912000000,81867000000,148000000,42657000000,444925620000,146200000000,204.32668946648425
054090,삼진엘앤디,93151000000,55788000000,23117000000,797000000,7568000000,99518880000,55200000000,80.28782608695653
251270,넷마블,2590626000000,587005000000,294505000000,1256223000000,241651000000,6009065850000,9613400000000,-37.492813676742884
094360,칩스앤미디어,23837000000,2164000000,1150000000,2881000000,2023000000,49682340000,80800000000,-38.51195544554456
041910,에스텍파마,46697000000,6157000000,2937000000,15872000000,1525000000,71971970000,95500000000,-24.636680628272252
127710,아시아경제,46469000000,26059000000,24107000000,92224000000,5755000000,157511390000,54400000000,189.54299632352942
267270,현대건설기계,2203851000000,945143000000,613205000000,2000000,208732000000,3147549130000,796900000000,294.9741661438073
073070,에스모,80971000000,57062000000,4360000000,33335000000,-849000000,25044320000,491800000000,-94.9076209841399
214430,아이쓰리시스템,0,0,0,0,0,0,145700000000,-100.0
267260,현대일렉트릭앤에너지시스템,1651652000000,1123316000000,351441000000,3098000000,-100581000000,-1483495940000,376600000000,-493.91819968135957
039670,한류타임즈,52660000000,52073000000,4122000000,7143000000,-7728000000,-114275570000,58800000000,-294.3462074829932
267250,현대중공업지주,8884244000000,8660183000000,4133477000000,4081881000000,861427000000,9117991030000,5122100000000,78.01274926299759
067770,세진티에스,25574000000,2349000000,0,1474000000,-1436000000,4918990000,23600000000,-79.1568220338983
214450,파마리서치프로덕트,105769000000,15480000000,23834000000,35403000000,8704000000,213132000000,479900000000,-55.58824755157325
070590,한솔인티큐브,0,0,0,0,0,0,35700000000,-100.0
145720,덴티움,169894000000,140383000000,101710000000,6000000,41960000000,445163930000,754900000000,-41.030079480725924
073570,더블유아이,0,0,0,0,0,0,80900000000,-100.0
111110,호전실업,191199000000,143999000000,17030000000,1830000000,10755000000,133281790000,104000000000,28.15556730769231
218410,알에프에이치아이씨,178171000000,43707000000,26864000000,8236000000,26711000000,458417270000,634100000000,-27.705839772906483
073640,삼원테크,26650000000,22688000000,581000000,782000000,329000000,1959180000,102700000000,-98.09232716650438
143210,핸즈코퍼레이션,302451000000,323198000000,61454000000,3381000000,10502000000,-32870820000,136600000000,-124.0635578330893
214180,민앤지,131386000000,65888000000,13629000000,32404000000,26040000000,411497480000,282900000000,45.45686815129021
065680,우주일렉트로닉스,145410000000,52145000000,0,5890000000,729000000,93728650000,92500000000,1.3282702702702702
241560,두산밥캣,1683673000000,963457000000,1743264000000,16626000000,459050000000,4819540470000,3358300000000,43.511314355477474
178780,유테크,15609000000,33254000000,12052000000,6999000000,-11620000000,-186887660000,19000000000,-1083.6192631578947
057880,토필드,18975000000,20899000000,386000000,5199000000,-5144000000,-71586910000,84600000000,-184.61809692671395
207940,삼성바이오로직스,0,0,0,0,0,0,19452500000000,-100.0
160600,에스엔텍,51355000000,40401000000,9336000000,3102000000,4938000000,58679110000,61400000000,-4.4314169381107495
234080,제이더블유생명과학,57926000000,73127000000,18475000000,501000000,23541000000,258713470000,404600000000,-36.05697726149283
060570,드림어스컴퍼니,150013000000,41956000000,2663000000,978000000,-3118000000,52735360000,413100000000,-87.23423868312757
241590,화승엔터프라이즈,359304000000,407965000000,69366000000,4327000000,40300000000,303980150000,932300000000,-67.39459937788266
166480,코아스템,49734000000,6712000000,4754000000,1048000000,-4021000000,-16109780000,178400000000,-109.03014573991032
067160,아프리카티비,95822000000,64344000000,307000000,17743000000,27123000000,390990140000,803500000000,-51.339123833229614
229640,LS전선아시아,240221000000,189517000000,16484000000,294000000,17966000000,218501870000,219900000000,-0.6358026375625284
214310,세미콘라이트,31424000000,32553000000,609000000,6327000000,-5403000000,-76711270000,55300000000,-238.71839059674502
074600,원익큐엔씨,104106000000,85643000000,52721000000,57708000000,41199000000,546560230000,314100000000,74.00835084368036
177350,베셀,56381000000,41248000000,13456000000,3814000000,2629000000,28494780000,41000000000,-30.500536585365857
249420,일동제약,210456000000,162897000000,124947000000,9971000000,28343000000,262304770000,446600000000,-41.26628526645768
071280,로체시스템즈,52179000000,13032000000,16916000000,1023000000,-1040000000,5642720000,59400000000,-90.50047138047138
217270,넵튠,14152000000,44563000000,16238000000,91612000000,-18371000000,-212294570000,210500000000,-200.85252731591447
041440,에버다임,183711000000,69166000000,8266000000,167000000,14171000000,274862160000,103000000000,166.8564660194175
005950,이수화학,465347000000,415030000000,118203000000,63632000000,6451000000,-38814400000,148800000000,-126.08494623655915
016740,두올,181999000000,132241000000,50432000000,243000000,30656000000,368943910000,88500000000,316.8857740112995
218150,미래생명자원,22374000000,5607000000,56000000,90000000,1981000000,41522270000,67200000000,-38.21090773809524
069510,에스텍,156099000000,52421000000,3769000000,4000000,18030000000,324509910000,147300000000,120.30543788187373
026960,동서,712674000000,58493000000,83509000000,609463000000,43218000000,1737971430000,2038900000000,-14.759358968071018
160980,싸이맥스,61788000000,18837000000,11516000000,23805000000,15651000000,257935570000,95000000000,171.51112631578945
067170,오텍,385325000000,262803000000,74054000000,18228000000,29823000000,387129030000,196200000000,97.31347094801224
002810,삼영무역,237453000000,34863000000,17114000000,119022000000,6806000000,384907530000,281700000000,36.63739084132055
087600,픽셀플러스,0,0,0,0,0,0,49800000000,-100.0
054780,키이스트,50611000000,22491000000,3261000000,8733000000,-2414000000,-5036590000,275500000000,-101.82816333938294
011780,금호석유화학,1348711000000,1758919000000,509654000000,849306000000,554633000000,6795976390000,2827400000000,140.36133514890005
195870,해성디에스,111716000000,64936000000,44942000000,6238000000,26761000000,345165860000,255000000000,35.35916078431372
217620,디딤,23474000000,27859000000,8323000000,1564000000,4447000000,39921990000,97900000000,-59.22166496424923
065510,휴비츠,47170000000,25502000000,26359000000,31000000,8328000000,98706820000,125400000000,-21.286427432216907
070960,용평리조트,103997000000,187144000000,211461000000,1202000000,24563000000,-20989860000,312900000000,-106.70816874400768
187420,제노포커스,17003000000,4385000000,4386000000,7377000000,-1214000000,-1808850000,152900000000,-101.18302812295619
002620,제일파마홀딩스,337928000000,280977000000,49533000000,60887000000,10949000000,132443370000,347400000000,-61.875829015544035
072470,우리산업홀딩스,199425000000,150196000000,17883000000,549000000,12249000000,151249860000,82000000000,84.45104878048781
101530,해태제과식품,175265000000,268923000000,238522000000,25798000000,23006000000,-78389870000,266100000000,-129.45880120255543
015260,에이엔피,40194000000,39122000000,47190000000,20932000000,-4728000000,-99413780000,38600000000,-357.5486528497409
068930,디지털대성,38502000000,30407000000,4694000000,7861000000,12604000000,170077170000,235600000000,-27.811048387096776
009460,한창제지,0,0,0,0,0,0,194500000000,-100.0
194370,제이에스코퍼레이션,124297000000,32867000000,1345000000,2330000000,4477000000,142427670000,240000000000,-40.6551375
069110,코스온,129903000000,96060000000,12986000000,14675000000,3281000000,51311900000,147100000000,-65.11767505098572
215360,우리산업,164200000000,129945000000,8307000000,299000000,17356000000,219397750000,230600000000,-4.8578707718993925
005720,넥센,1110544000000,717737000000,1224610000000,160432000000,143585000000,1030165770000,326100000000,215.90486660533577
152330,코리아오토글라스,0,0,0,0,0,0,365000000000,-100.0
215200,메가스터디교육,81373000000,129518000000,21719000000,4677000000,48211000000,538459080000,449800000000,19.710778123610492
006660,삼성공조,145459000000,41100000000,5186000000,81452000000,-1130000000,153677000000,84100000000,82.73127229488703
226320,잇츠한불,390708000000,51933000000,8902000000,2358000000,19913000000,582013330000,498900000000,16.659316496291844
052710,아모텍,146603000000,149453000000,48937000000,59368000000,11287000000,114356730000,187600000000,-39.042254797441366
075580,세진중공업,86368000000,193891000000,16016000000,931000000,8380000000,-67382390000,191500000000,-135.18662663185378
004490,세방전지,788612000000,275029000000,10468000000,138696000000,111282000000,2042103190000,605500000000,237.25899091659787
215100,로보로보,17252000000,1407000000,55000000,5644000000,2735000000,57401470000,74800000000,-23.260066844919784
065950,웰크론,218062000000,191006000000,14779000000,5706000000,10101000000,96934560000,95100000000,1.9290851735015773
214330,금호에이치티,155547000000,86744000000,26784000000,3333000000,10493000000,159753140000,120000000000,33.12761666666667
214680,디알텍,35252000000,15513000000,2958000000,1484000000,1572000000,34673830000,95600000000,-63.73030334728034
011000,진원생명과학,38183000000,18812000000,1073000000,333000000,-11259000000,-136569180000,95900000000,-242.4079040667362
047310,파워로직스,190740000000,156842000000,5258000000,13205000000,26217000000,345046920000,411300000000,-16.108212983223925
089590,제주항공,478164000000,403160000000,246035000000,2364000000,101203000000,1060416500000,962000000000,10.230405405405406
195990,유지인트,59625000000,52824000000,8069000000,34288000000,-5425000000,-54451460000,60900000000,-189.4112643678161
009310,참엔지니어링,429434000000,633317000000,51938000000,28439000000,13653000000,-229459030000,70300000000,-426.3997581792319
056000,신스타임즈,20282000000,2076000000,44000000,0,-3105000000,-23736540000,31400000000,-175.59407643312102
227840,현대코퍼레이션홀딩스,97626000000,20357000000,170000000,63069000000,7896000000,239281270000,128800000000,85.77738354037268
010100,한국프랜지공업,343267000000,398327000000,21906000000,54757000000,2000000000,-111123830000,50500000000,-320.0471881188119
215000,골프존,145265000000,54340000000,4798000000,30000000,28160000000,444926400000,366500000000,21.398744884038198
041520,이라이콤,247595000000,97002000000,5775000000,16063000000,8613000000,247303320000,65800000000,275.84091185410335
079550,엘아이지넥스원,0,0,0,0,0,0,750200000000,-100.0
005070,코스모신소재,0,0,0,0,0,0,244900000000,-100.0
214150,클래시스,26600000000,14825000000,9809000000,419000000,17476000000,230516550000,814900000000,-71.71228985151552
065560,녹원씨엔아이,65425000000,47721000000,633000000,11765000000,16598000000,235750310000,129900000000,81.48599692070823
039570,에이치디씨아이콘트롤스,151668000000,71832000000,10583000000,128134000000,14679000000,371786420000,163600000000,127.2533129584352
214270,퓨쳐스트림네트웍스,120332000000,133123000000,12915000000,22086000000,9729000000,87170030000,110000000000,-20.75451818181818
004830,덕성,58365000000,28010000000,9703000000,6491000000,-2271000000,-11184200000,44500000000,-125.13303370786517
064240,홈캐스트,77786000000,20182000000,48000000,9957000000,-5417000000,-10385880000,158200000000,-106.56503160556258
189690,포시에스,14320000000,1635000000,435000000,5088000000,4077000000,71087950000,47100000000,50.929830148619956
095570,AJ네트웍스,1501059000000,1592613000000,474261000000,47272000000,-21282000000,-1263451370000,252400000000,-600.5750277337559
066790,씨씨에스충북방송,9064000000,11038000000,260000000,0,-3683000000,-54418920000,36200000000,-250.3285082872928
011700,한신기계공업,65219000000,7776000000,3078000000,876000000,4809000000,116945660000,66200000000,76.6550755287009
069080,웹젠,283700000000,67896000000,14955000000,31509000000,68862000000,1128532760000,561400000000,101.02115425721412
005420,코스모화학,125413000000,200999000000,129514000000,4508000000,6248000000,-175783310000,170000000000,-203.40194705882354
067080,대화제약,50918000000,61981000000,16875000000,13707000000,5202000000,36981110000,308000000000,-87.99314610389611
206640,바디텍메드,62819000000,14709000000,20709000000,1674000000,6495000000,111192890000,259300000000,-57.11805244890089
214320,이노션,1575743000000,934039000000,65058000000,15216000000,118186000000,1892864490000,1432000000000,32.18327444134078
208640,썸에이지,36802000000,31854000000,173000000,2423000000,-26485000000,-354290160000,77800000000,-555.3858097686375
000500,가온전선,277829000000,147498000000,118590000000,19210000000,5173000000,56977480000,74300000000,-23.3142934051144
066590,우수AMS,71903000000,96261000000,9037000000,3743000000,4582000000,3372910000,109400000000,-96.91690127970749
214420,토니모리,100465000000,57376000000,41284000000,6300000000,-5036000000,-75512840000,174300000000,-143.32348823866897
193250,와이제이엠게임즈,67661000000,31644000000,1782000000,20920000000,-5565000000,-28036260000,94500000000,-129.668
010950,S-Oil,5854506000000,5789047000000,3696763000000,79236000000,639460000000,3273926370000,9153000000000,-64.2311114388725
067290,제이더블유신약,44702000000,43874000000,32053000000,9000000,577000000,-36265360000,244200000000,-114.85067977067978
066130,하츠,0,0,0,0,0,0,91600000000,-100.0
204630,화이브라더스코리아,28184000000,11475000000,678000000,16064000000,-1217000000,12581150000,99100000000,-87.30459132189708
012450,한화에어로스페이스,3876999000000,3144141000000,1616795000000,113087000000,53177000000,-975396790000,1608000000000,-160.65900435323383
046140,에스비에스콘텐츠허브,162076000000,53445000000,2964000000,20015000000,3224000000,153062150000,124100000000,23.337751813053988
210980,에스케이디앤디,914308000000,732672000000,409599000000,136866000000,85097000000,828218220000,551700000000,50.121120174007615
011230,삼화전자공업,17904000000,32792000000,12230000000,213000000,-3185000000,-78775180000,30100000000,-361.711561461794
200670,휴메딕스,54324000000,14233000000,364000000,9139000000,10693000000,186955330000,268700000000,-30.422281354670638
138250,엔에스쇼핑,123140000000,219411000000,153366000000,9341000000,61170000000,509635810000,395900000000,28.7284187926244
065130,탑엔지니어링,310632000000,240989000000,12092000000,14667000000,33918000000,453440590000,156600000000,189.55337803320563
