종목코드,회사명,기업가치
170900,동아에스티,585710850000.0
140520,대창스틸,-30196190000.0
006260,LS,6820648090000.0
052770,와이디온라인,-96612790000.0
013870,지엠비코리아,262320000.0
173940,에프엔씨엔터테인먼트,-39413400000.0
001740,SK네트웍스,-1362503090000.0
064800,필링크,63392920000.0
037560,CJ헬로,267842950000.0
002100,경농,176605710000.0
039980,리노스,84767070000.0
200230,텔콘알에프제약,-13594640000.0
163560,동일고무벨트,195196400000.0
004870,티웨이홀딩스,652669400000.0
048410,현대바이오사이언스,41061170000.0
194510,파티게임즈,-48423590000.0
161890,한국콜마,242110300000.0
007590,동방아그로,156439620000.0
058610,에스피지,153314670000.0
204840,지엘팜텍,-76390570000.0
161390,한국타이어,10538997440000.0
204620,글로벌텍스프리,69775300000.0
161000,애경유화,828709960000.0
004430,송원산업,558565860000.0
065710,서호전기,124816360000.0
196490,디에이테크놀로지,60743940000.0
002780,진흥기업,0.0
068400,에이제이렌터카,-694116340000.0
004090,한국석유공업,75487890000.0
065690,대진디엠피,89746840000.0
205100,엑셈,100113620000.0
014710,사조씨푸드,0.0
000430,대원강업,329299040000.0
066110,한프,-220659890000.0
001080,만호제강,164273800000.0
043710,서울리거,29667650000.0
144620,코오롱머티리얼,0.0
192440,슈피겐코리아,831465280000.0
004700,조광피혁,0.0
060560,홈센타홀딩스,-205775570000.0
182690,테라셈,-98665510000.0
079980,휴비스,302588180000.0
004360,세방,589208540000.0
036010,아비코전자,151031720000.0
143540,영우디에스피,-237143050000.0
145270,케이탑자기관리부동산투자회사,0.0
008970,동양철관,-77983300000.0
060280,큐렉소,0.0
007070,GS리테일,155371380000.0
002880,대유에이텍,-343952340000.0
065620,제낙스,-124628690000.0
203650,드림시큐리티,55111550000.0
129260,인터지스,16894450000.0
060230,이그잭스,10179640000.0
041920,메디아나,70964310000.0
001260,남광토건,138662540000.0
145990,삼양사,1126098590000.0
057680,옴니텔,0.0
194480,데브시스터즈,-59149810000.0
005680,삼영전자공업,491966450000.0
039130,하나투어,250364600000.0
046940,우원개발,-22259510000.0
078520,에이블씨엔씨,-72593050000.0
203690,프로스테믹스,-47157420000.0
005800,신영와코루,174227850000.0
060150,인선이엔티,227433130000.0
031430,신세계인터내셔날,737602540000.0
