기업명: JB금융지주  종목코드: 175330    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 하이골드오션12호국제선박투자회사  종목코드: 172580    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: DSR  종목코드: 155660    유동자산: 118933000000    유동부채: 72833000000    고정부채: 4722000000    투자자산: 13406000000    영업이익: 9906000000
기업명: 한국투자패러랠유전해외자원개발특별자산투자회사1호  종목코드: 168490    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 동아에스티  종목코드: 170900    유동자산: 426486000000    유동부채: 268985000000    고정부채: 100325000000    투자자산: 82055000000    영업이익: 39435000000
기업명: 지엠비코리아  종목코드: 013870    유동자산: 208837000000    유동부채: 164602000000    고정부채: 79484000000    투자자산: 28410000000    영업이익: 4123000000
기업명: CJ헬로  종목코드: 037560    유동자산: 352159000000    유동부채: 491499000000    고정부채: 437387000000    투자자산: 6791000000    영업이익: 12986000000
기업명: 동일고무벨트  종목코드: 163560    유동자산: 154897000000    유동부채: 81730000000    고정부채: 16021000000    투자자산: 729000000    영업이익: 12107000000
기업명: 한국콜마  종목코드: 161890    유동자산: 589427000000    유동부채: 439061000000    고정부채: 980996000000    투자자산: 17157000000    영업이익: 31693000000
기업명: 한국타이어  종목코드: 161390    유동자산: 4084564000000    유동부채: 2558057000000    고정부채: 907147000000    투자자산: 1134440000000    영업이익: 140616000000
기업명: 애경유화  종목코드: 161000    유동자산: 302833000000    유동부채: 147416000000    고정부채: 9109000000    투자자산: 33260000000    영업이익: 52022000000
기업명: 하이골드오션8호국제선박투자회사  종목코드: 159650    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 에이제이렌터카  종목코드: 068400    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 바다로19호선박투자회사  종목코드: 155900    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 사조씨푸드  종목코드: 014710    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 하이골드오션3호선박투자회사  종목코드: 153360    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 코오롱머티리얼  종목코드: 144620    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 한국투자ANKOR유전해외자원개발특별자산투자회사1호  종목코드: 152550    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 휴비스  종목코드: 079980    유동자산: 364112000000    유동부채: 416740000000    고정부채: 117325000000    투자자산: 135158000000    영업이익: 2901000000
기업명: 케이탑자기관리부동산투자회사  종목코드: 145270    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: GS리테일  종목코드: 007070    유동자산: 709522000000    유동부채: 1720408000000    고정부채: 920124000000    투자자산: 187855000000    영업이익: 180259000000
기업명: 인터지스  종목코드: 129260    유동자산: 179145000000    유동부채: 174365000000    고정부채: 72386000000    투자자산: 9767000000    영업이익: 9421000000
기업명: 삼양사  종목코드: 145990    유동자산: 652082000000    유동부채: 473819000000    고정부채: 434087000000    투자자산: 229669000000    영업이익: 96967000000
기업명: 하나투어  종목코드: 039130    유동자산: 497711000000    유동부채: 413590000000    고정부채: 62652000000    투자자산: 18079000000    영업이익: 24869000000
기업명: 에이블씨엔씨  종목코드: 078520    유동자산: 264765000000    유동부채: 65315000000    고정부채: 3950000000    투자자산: 3003000000    영업이익: -18959000000
기업명: 삼원강재  종목코드: 023000    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 신세계인터내셔날  종목코드: 031430    유동자산: 403700000000    유동부채: 246154000000    고정부채: 191483000000    투자자산: 104455000000    영업이익: 55524000000
기업명: 에이자기관리부동산투자회사  종목코드: 140910    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 한국항공우주산업  종목코드: 047810    유동자산: 2409544000000    유동부채: 1667808000000    고정부채: 1035150000000    투자자산: 37807000000    영업이익: 146383000000
기업명: 롯데하이마트  종목코드: 071840    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 한세엠케이  종목코드: 069640    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 코오롱플라스틱  종목코드: 138490    유동자산: 120771000000    유동부채: 99088000000    고정부채: 44539000000    투자자산: 52859000000    영업이익: 19372000000
기업명: 이마트  종목코드: 139480    유동자산: 3444229000000    유동부채: 6254353000000    고정부채: 4602538000000    투자자산: 2503243000000    영업이익: 74292000000
기업명: DGB금융지주  종목코드: 139130    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 케이티스카이라이프  종목코드: 053210    유동자산: 301739000000    유동부채: 112411000000    고정부채: 37430000000    투자자산: 129195000000    영업이익: 66735000000
기업명: 세아특수강  종목코드: 019440    유동자산: 323210000000    유동부채: 162723000000    고정부채: 12220000000    투자자산: 85000000    영업이익: 19690000000
기업명: 메리츠금융지주  종목코드: 138040    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 한국종합기술  종목코드: 023350    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: BNK금융지주  종목코드: 138930    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 일진머티리얼즈  종목코드: 020150    유동자산: 357483000000    유동부채: 109017000000    고정부채: 54776000000    투자자산: 42359000000    영업이익: 48721000000
기업명: 현대위아  종목코드: 011210    유동자산: 3975587000000    유동부채: 2146062000000    고정부채: 2003386000000    투자자산: 395604000000    영업이익: 14605000000
기업명: 선진  종목코드: 136490    유동자산: 414834000000    유동부채: 467752000000    고정부채: 118286000000    투자자산: 25770000000    영업이익: 34785000000
기업명: 미원화학  종목코드: 134380    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 시디즈  종목코드: 134790    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 에이치에스디엔진  종목코드: 082740    유동자산: 281842000000    유동부채: 490258000000    고정부채: 22120000000    투자자산: 3035000000    영업이익: -35327000000
기업명: 대성에너지  종목코드: 117580    유동자산: 212944000000    유동부채: 217337000000    고정부채: 134523000000    투자자산: 10165000000    영업이익: 15969000000
기업명: 현대에이치씨엔  종목코드: 126560    유동자산: 420064000000    유동부채: 63063000000    고정부채: 22250000000    투자자산: 5460000000    영업이익: 11711000000
기업명: 케이티스  종목코드: 058860    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 한전산업개발  종목코드: 130660    유동자산: 88870000000    유동부채: 45029000000    고정부채: 28077000000    투자자산: 4882000000    영업이익: 14165000000
기업명: 엘브이엠씨홀딩스  종목코드: 900140    유동자산: 367562000000    유동부채: 227045000000    고정부채: 66968000000    투자자산: 49953000000    영업이익: -14832000000
기업명: 동양네트웍스  종목코드: 030790    유동자산: 100059000000    유동부채: 97598000000    고정부채: 4622000000    투자자산: 80169000000    영업이익: -19811000000
기업명: 휠라코리아  종목코드: 081660    유동자산: 1337878000000    유동부채: 672316000000    고정부채: 1125530000000    투자자산: 63203000000    영업이익: 357102000000
기업명: 케이티씨에스  종목코드: 058850    유동자산: 295480000000    유동부채: 178635000000    고정부채: 9926000000    투자자산: 0    영업이익: 12463000000
기업명: 현대홈쇼핑  종목코드: 057050    유동자산: 1085118000000    유동부채: 829141000000    고정부채: 119749000000    투자자산: 905523000000    영업이익: 33622000000
기업명: 도화엔지니어링  종목코드: 002150    유동자산: 154882000000    유동부채: 124335000000    고정부채: 7463000000    투자자산: 43767000000    영업이익: 2854000000
기업명: 대성산업  종목코드: 128820    유동자산: 182921000000    유동부채: 334245000000    고정부채: 307159000000    투자자산: 99708000000    영업이익: 6104000000
기업명: 아이마켓코리아  종목코드: 122900    유동자산: 865095000000    유동부채: 604136000000    고정부채: 32613000000    투자자산: 29957000000    영업이익: 36201000000
기업명: 한미약품  종목코드: 128940    유동자산: 657049000000    유동부채: 588838000000    고정부채: 462611000000    투자자산: 84243000000    영업이익: 25936000000
기업명: 우진  종목코드: 105840    유동자산: 61506000000    유동부채: 38030000000    고정부채: 41972000000    투자자산: 33502000000    영업이익: -1087000000
기업명: 무학  종목코드: 033920    유동자산: 89798000000    유동부채: 106861000000    고정부채: 15242000000    투자자산: 306443000000    영업이익: -1888000000
기업명: 웅진에너지  종목코드: 103130    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 이연제약  종목코드: 102460    유동자산: 224422000000    유동부채: 42506000000    고정부채: 35269000000    투자자산: 15289000000    영업이익: 2460000000
기업명: 한국화장품  종목코드: 123690    유동자산: 61934000000    유동부채: 37496000000    고정부채: 4747000000    투자자산: 3124000000    영업이익: -7485000000
기업명: 에스제이엠  종목코드: 123700    유동자산: 131492000000    유동부채: 27669000000    고정부채: 5969000000    투자자산: 229000000    영업이익: 742000000
기업명: 한라홀딩스  종목코드: 060980    유동자산: 368497000000    유동부채: 290339000000    고정부채: 568562000000    투자자산: 906820000000    영업이익: 57512000000
기업명: 삼성생명보험  종목코드: 032830    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 신세계푸드  종목코드: 031440    유동자산: 238859000000    유동부채: 226249000000    고정부채: 160419000000    투자자산: 1817000000    영업이익: 3233000000
기업명: 한화생명보험  종목코드: 088350    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 조선선재  종목코드: 120030    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 코오롱인더스트리  종목코드: 120110    유동자산: 1955216000000    유동부채: 2324355000000    고정부채: 1039971000000    투자자산: 660332000000    영업이익: 144916000000
기업명: 케이씨코트렐  종목코드: 119650    유동자산: 142006000000    유동부채: 119098000000    고정부채: 22645000000    투자자산: 7598000000    영업이익: 3741000000
기업명: 한국지역난방공사  종목코드: 071320    유동자산: 641990000000    유동부채: 959069000000    고정부채: 3138777000000    투자자산: 24281000000    영업이익: 14521000000
기업명: 락앤락  종목코드: 115390    유동자산: 390964000000    유동부채: 79236000000    고정부채: 54773000000    투자자산: 4500000000    영업이익: 3643000000
기업명: 영흥철강  종목코드: 012160    유동자산: 105019000000    유동부채: 89955000000    고정부채: 36615000000    투자자산: 2820000000    영업이익: -1709000000
기업명: 우리들휴브레인  종목코드: 118000    유동자산: 54272000000    유동부채: 42505000000    고정부채: 424000000    투자자산: 1917000000    영업이익: -6628000000
기업명: 한국전력기술  종목코드: 052690    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 그랜드코리아레저  종목코드: 114090    유동자산: 455583000000    유동부채: 168570000000    고정부채: 35103000000    투자자산: 150828000000    영업이익: 105058000000
기업명: SK  종목코드: 034730    유동자산: 37128397000000    유동부채: 30007832000000    고정부채: 38561287000000    투자자산: 21754619000000    영업이익: 4688117000000
기업명: 황금에스티  종목코드: 032560    유동자산: 172083000000    유동부채: 123670000000    고정부채: 14183000000    투자자산: 27529000000    영업이익: 24010000000
기업명: 하이트진로  종목코드: 000080    유동자산: 939234000000    유동부채: 1373086000000    고정부채: 964861000000    투자자산: 13919000000    영업이익: -4184000000
기업명: 동양생명보험  종목코드: 082640    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 유니온머티리얼  종목코드: 047400    유동자산: 66705000000    유동부채: 49520000000    고정부채: 16205000000    투자자산: 2000000    영업이익: 482000000
기업명: 형지엘리트  종목코드: 093240    유동자산: 120662000000    유동부채: 66967000000    고정부채: 16727000000    투자자산: 3100000000    영업이익: -105000000
기업명: 키움증권  종목코드: 039490    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 영원무역  종목코드: 111770    유동자산: 1337082000000    유동부채: 469434000000    고정부채: 506387000000    투자자산: 377042000000    영업이익: 201038000000
기업명: 아주캐피탈  종목코드: 033660    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 한미글로벌건축사사무소  종목코드: 053690    유동자산: 153925000000    유동부채: 100012000000    고정부채: 6363000000    투자자산: 13941000000    영업이익: 10996000000
기업명: 동아지질  종목코드: 028100    유동자산: 210402000000    유동부채: 109017000000    고정부채: 984000000    투자자산: 10170000000    영업이익: 26067000000
기업명: STX중공업  종목코드: 071970    유동자산: 222689000000    유동부채: 201395000000    고정부채: 119431000000    투자자산: 5689000000    영업이익: -1181000000
기업명: 엘지하우시스  종목코드: 108670    유동자산: 1080876000000    유동부채: 736764000000    고정부채: 856203000000    투자자산: 38744000000    영업이익: 70371000000
기업명: 한세실업  종목코드: 105630    유동자산: 825854000000    유동부채: 588783000000    고정부채: 89289000000    투자자산: 66223000000    영업이익: 38629000000
기업명: 컨버즈  종목코드: 109070    유동자산: 42337000000    유동부채: 62280000000    고정부채: 4268000000    투자자산: 14344000000    영업이익: -14143000000
