종목코드,회사명,유동자산,유동부채,투자자산,비유동부채,영업이익
011210,현대위아,3975587000000,2146062000000,2003386000000,395604000000,14605000000
136490,선진,414834000000,467752000000,118286000000,25770000000,34785000000
134380,미원화학,0,0,0,0,0
134790,시디즈,0,0,0,0,0
082740,에이치에스디엔진,281842000000,490258000000,22120000000,3035000000,-35327000000
117580,대성에너지,212944000000,217337000000,134523000000,10165000000,15969000000
126560,현대에이치씨엔,420064000000,63063000000,22250000000,5460000000,11711000000
058860,케이티스,0,0,0,0,0
130660,한전산업개발,88870000000,45029000000,28077000000,4882000000,14165000000
900140,엘브이엠씨홀딩스,367562000000,227045000000,66968000000,49953000000,-14832000000
030790,동양네트웍스,100059000000,97598000000,4622000000,80169000000,-19811000000
081660,휠라코리아,1337878000000,672316000000,1125530000000,63203000000,357102000000
058850,케이티씨에스,295480000000,178635000000,9926000000,0,12463000000
057050,현대홈쇼핑,1085118000000,829141000000,119749000000,905523000000,33622000000
002150,도화엔지니어링,154882000000,124335000000,7463000000,43767000000,2854000000
128820,대성산업,182921000000,334245000000,307159000000,99708000000,6104000000
122900,아이마켓코리아,865095000000,604136000000,32613000000,29957000000,36201000000
128940,한미약품,657049000000,588838000000,462611000000,84243000000,25936000000
105840,우진,61506000000,38030000000,41972000000,33502000000,-1087000000
033920,무학,89798000000,106861000000,15242000000,306443000000,-1888000000
103130,웅진에너지,0,0,0,0,0
102460,이연제약,224422000000,42506000000,35269000000,15289000000,2460000000
123690,한국화장품,61934000000,37496000000,4747000000,3124000000,-7485000000
123700,에스제이엠,131492000000,27669000000,5969000000,229000000,742000000
060980,한라홀딩스,368497000000,290339000000,568562000000,906820000000,57512000000
032830,삼성생명보험,0,0,0,0,0
031440,신세계푸드,238859000000,226249000000,160419000000,1817000000,3233000000
088350,한화생명보험,0,0,0,0,0
120030,조선선재,0,0,0,0,0
120110,코오롱인더스트리,1955216000000,2324355000000,1039971000000,660332000000,144916000000
119650,케이씨코트렐,142006000000,119098000000,22645000000,7598000000,3741000000
071320,한국지역난방공사,641990000000,959069000000,3138777000000,24281000000,14521000000
115390,락앤락,390964000000,79236000000,54773000000,4500000000,3643000000
012160,영흥철강,105019000000,89955000000,36615000000,2820000000,-1709000000
118000,우리들휴브레인,54272000000,42505000000,424000000,1917000000,-6628000000
052690,한국전력기술,0,0,0,0,0
114090,그랜드코리아레저,455583000000,168570000000,35103000000,150828000000,105058000000
034730,SK,37128397000000,30007832000000,38561287000000,21754619000000,4688117000000
032560,황금에스티,172083000000,123670000000,14183000000,27529000000,24010000000
000080,하이트진로,939234000000,1373086000000,964861000000,13919000000,-4184000000
082640,동양생명보험,0,0,0,0,0
047400,유니온머티리얼,66705000000,49520000000,16205000000,2000000,482000000
093240,형지엘리트,120662000000,66967000000,16727000000,3100000000,-105000000
039490,키움증권,0,0,0,0,0
111770,영원무역,1337082000000,469434000000,506387000000,377042000000,201038000000
033660,아주캐피탈,0,0,0,0,0
053690,한미글로벌건축사사무소,153925000000,100012000000,6363000000,13941000000,10996000000
028100,동아지질,210402000000,109017000000,984000000,10170000000,26067000000
071970,STX중공업,222689000000,201395000000,119431000000,5689000000,-1181000000
108670,엘지하우시스,1080876000000,736764000000,856203000000,38744000000,70371000000
105630,한세실업,825854000000,588783000000,89289000000,66223000000,38629000000
109070,컨버즈,42337000000,62280000000,4268000000,14344000000,-14143000000
107590,미원홀딩스,68377000000,48855000000,41092000000,119375000000,3613000000
035420,네이버,5625319000000,3021787000000,1825854000000,2416020000000,206245000000
026940,부국철강,0,0,0,0,0
105560,KB금융지주,0,0,0,0,0
104700,한국철강,0,0,0,0,0
103590,일진전기,295304000000,370893000000,107415000000,3722000000,5232000000
103140,풍산,1361614000000,839769000000,449024000000,14826000000,107501000000
011070,LG이노텍,2233328000000,1584398000000,2053434000000,33745000000,263517000000
017180,명문제약,106971000000,123355000000,26647000000,1908000000,4937000000
100220,비상교육,117398000000,43776000000,3638000000,3093000000,10332000000
102260,동성코퍼레이션,333668000000,331091000000,76357000000,20241000000,7778000000
102280,쌍방울,91443000000,144555000000,31554000000,257311000000,564000000
032640,LG유플러스,4685928000000,4281107000000,3326051000000,79105000000,194628000000
101140,아티스,0,0,0,0,0
020560,아시아나항공,1648140000000,5148113000000,4555082000000,185861000000,7160000000
101060,SBS미디어홀딩스,355739000000,96154000000,9333000000,379514000000,7122000000
100840,S&TC,0,0,0,0,0
100250,진양홀딩스,155297000000,102302000000,34773000000,61944000000,9303000000
099340,하나유비에스암바토비니켈해외자원개발투자회사제1호,0,0,0,0,0
099350,하나유비에스암바토비니켈해외자원개발투자회사제이호,0,0,0,0,0
085310,엔케이,72180000000,75943000000,8641000000,3027000000,-23223000000
051600,한전KPS,704225000000,352403000000,47972000000,27028000000,18119000000
093230,이아이디,34615000000,5711000000,420000000,25491000000,-3446000000
092440,기신정기,129070000000,10244000000,3269000000,6200000000,6838000000
044450,케이에스에스해운,44972000000,121840000000,531397000000,2573000000,47111000000
094280,효성아이티엑스,62508000000,65191000000,8451000000,21044000000,11337000000
033270,한국유나이티드제약,0,0,0,0,0
092200,디아이씨,328698000000,503767000000,119989000000,1302000000,22569000000
097950,CJ제일제당,6484515000000,8664338000000,7458861000000,227027000000,179063000000
028670,팬오션,661484000000,801942000000,704999000000,12565000000,44951000000
097230,한진중공업,1720906000000,2140149000000,1301657000000,149170000000,61676000000
096760,JW홀딩스,643472000000,501255000000,373383000000,33020000000,33315000000
096770,SK이노베이션,16752415000000,8940623000000,7816778000000,3236307000000,2117590000000
029780,삼성카드,0,0,0,0,0
